cc -Ofast -fopenmp main.c -o main
(00/64) calculation done, current totalSum: 500500
(05/64) calculation done, current totalSum: 1001000
(58/64) calculation done, current totalSum: 1501500
(55/64) calculation done, current totalSum: 2002000
(45/64) calculation done, current totalSum: 2502500
(33/64) calculation done, current totalSum: 3003000
(47/64) calculation done, current totalSum: 3503500
(63/64) calculation done, current totalSum: 4004000
(61/64) calculation done, current totalSum: 4504500
(40/64) calculation done, current totalSum: 5005000
(60/64) calculation done, current totalSum: 5505500
(43/64) calculation done, current totalSum: 6006000
(49/64) calculation done, current totalSum: 6506500
(54/64) calculation done, current totalSum: 7007000
(50/64) calculation done, current totalSum: 7507500
(34/64) calculation done, current totalSum: 8008000
(56/64) calculation done, current totalSum: 8508500
(35/64) calculation done, current totalSum: 9009000
(44/64) calculation done, current totalSum: 9509500
(46/64) calculation done, current totalSum: 10010000
(32/64) calculation done, current totalSum: 10510500
(41/64) calculation done, current totalSum: 11011000
(52/64) calculation done, current totalSum: 11511500
(57/64) calculation done, current totalSum: 12012000
(39/64) calculation done, current totalSum: 12512500
(12/64) calculation done, current totalSum: 13013000
(23/64) calculation done, current totalSum: 13513500
(14/64) calculation done, current totalSum: 14014000
(03/64) calculation done, current totalSum: 14514500
(02/64) calculation done, current totalSum: 15015000
(15/64) calculation done, current totalSum: 15515500
(10/64) calculation done, current totalSum: 16016000
(26/64) calculation done, current totalSum: 16516500
(04/64) calculation done, current totalSum: 17017000
(30/64) calculation done, current totalSum: 17517500
(17/64) calculation done, current totalSum: 18018000
(29/64) calculation done, current totalSum: 18518500
(24/64) calculation done, current totalSum: 19019000
(18/64) calculation done, current totalSum: 19519500
(13/64) calculation done, current totalSum: 20020000
(21/64) calculation done, current totalSum: 20520500
(11/64) calculation done, current totalSum: 21021000
(38/64) calculation done, current totalSum: 21521500
(16/64) calculation done, current totalSum: 22022000
(01/64) calculation done, current totalSum: 22522500
(31/64) calculation done, current totalSum: 23023000
(08/64) calculation done, current totalSum: 23523500
(51/64) calculation done, current totalSum: 24024000
(25/64) calculation done, current totalSum: 24524500
(19/64) calculation done, current totalSum: 25025000
(20/64) calculation done, current totalSum: 25525500
(37/64) calculation done, current totalSum: 26026000
(07/64) calculation done, current totalSum: 26526500
(62/64) calculation done, current totalSum: 27027000
(42/64) calculation done, current totalSum: 27527500
(36/64) calculation done, current totalSum: 28028000
(06/64) calculation done, current totalSum: 28528500
(22/64) calculation done, current totalSum: 29029000
(28/64) calculation done, current totalSum: 29529500
(53/64) calculation done, current totalSum: 30030000
(27/64) calculation done, current totalSum: 30530500
(09/64) calculation done, current totalSum: 31031000
(48/64) calculation done, current totalSum: 31531500
(59/64) calculation done, current totalSum: 32032000
Total Sum: 32032000
